Dim1,Dim2,class
-5.913873195648193,-7.218021392822266,0
-13.8930082321167,-7.716366291046143,0
-4.108210563659668,-13.866303443908691,0
15.784562110900879,-24.477291107177734,5
-9.357828140258789,-8.635380744934082,0
-27.30058479309082,0.23185816407203674,2
-8.096868515014648,15.96981430053711,3
-5.818953990936279,-17.549816131591797,0
-4.055225849151611,-13.745744705200195,0
23.927053451538086,33.25016784667969,2
-7.597952842712402,16.33753204345703,3
-7.5325212478637695,-47.17087173461914,7
25.54265594482422,31.924213409423828,2
-28.477170944213867,-3.136655569076538,1
25.527589797973633,31.664918899536133,2
18.387182235717773,1.220768928527832,4
18.734148025512695,-0.9822738170623779,4
29.319923400878906,30.5938663482666,2
35.28178405761719,-21.598737716674805,0
-15.403549194335938,-7.289338111877441,0
-23.9986515045166,-1.256301760673523,1
15.99884033203125,-23.61766242980957,5
23.337934494018555,32.280391693115234,2
21.653879165649414,34.116634368896484,2
14.76012134552002,-23.581247329711914,5
-49.12712097167969,9.71920394897461,6
-47.09589767456055,10.369906425476074,6
-46.79907989501953,6.97155237197876,6
21.511930465698242,34.14702224731445,2
28.085134506225586,11.959561347961426,11
23.572532653808594,32.60074234008789,2
16.447185516357422,-41.31805419921875,12
36.24674606323242,-20.26813316345215,8
-29.09318733215332,-6.733638286590576,1
-21.080814361572266,17.621549606323242,9
28.252134323120117,11.919027328491211,11
27.429903030395508,12.376336097717285,11
14.20085334777832,-42.47506332397461,12
-21.873672485351562,18.801786422729492,9
-0.30090299248695374,-10.647024154663086,0
16.335912704467773,-2.0013716220855713,4
15.778858184814453,-24.283477783203125,5
23.620811462402344,33.21658706665039,2
24.61908721923828,30.966033935546875,2
25.827377319335938,32.52642059326172,2
19.782766342163086,-0.51253741979599,4
28.326629638671875,14.433136940002441,11
-12.02481746673584,-7.2705464363098145,0
51.463623046875,0.16573350131511688,10
-22.19007110595703,18.70182991027832,9
-7.461387634277344,15.099082946777344,3
-5.523071765899658,-14.09144401550293,0
-7.044432640075684,-10.626856803894043,0
19.193504333496094,-1.157120943069458,5
36.283687591552734,-20.163494110107422,8
22.319324493408203,31.537899017333984,2
-8.567371368408203,17.316238403320312,3
-5.51638126373291,44.60420608520508,13
-28.11882781982422,-1.1121336221694946,1
-24.284832000732422,-2.2632815837860107,1
-12.567201614379883,-8.629639625549316,0
49.490543365478516,2.2308571338653564,11
-21.48487663269043,18.398258209228516,9
-10.396068572998047,-10.901106834411621,0
-24.008928298950195,0.08484619855880737,1
-30.893964767456055,-3.6711981296539307,1
-6.169930458068848,13.42113208770752,3
17.733108520507812,-3.1273374557495117,4
15.557291030883789,-25.60384750366211,5
-4.8140339851379395,-15.7346773147583,0
52.159263610839844,1.1282988786697388,10
28.424423217773438,13.161667823791504,11
-46.684566497802734,10.111992835998535,6
-5.104795932769775,45.24964904785156,13
3.9219460487365723,30.23995018005371,14
28.033979415893555,12.9319486618042,11
-21.27178382873535,19.158836364746094,9
-7.155579090118408,-8.538715362548828,0
1.725780963897705,-25.585269927978516,15
25.06333351135254,35.18655776977539,2
-30.900474548339844,-5.259713172912598,1
1.9294034242630005,-25.031829833984375,15
25.624221801757812,31.805042266845703,2
16.43943977355957,-24.8410587310791,5
18.58991813659668,0.3376726508140564,4
22.524322509765625,34.0071907043457,2
-46.35657501220703,7.460315227508545,6
50.865779876708984,0.7284860014915466,10
-6.077243328094482,-11.085675239562988,0
52.76606750488281,0.8214710354804993,10
15.024004936218262,-41.99163818359375,12
1.5570391416549683,-24.97779083251953,15
-5.935851097106934,16.298219680786133,3
18.418485641479492,0.44938430190086365,4
-49.02542495727539,9.473526954650879,6
50.09299850463867,0.9941403865814209,10
-50.259952545166016,8.650944709777832,6
17.633033752441406,0.3660539388656616,4
-23.651222229003906,-1.5156655311584473,1
-1.1836310625076294,-12.878886222839355,0
