Dim1,Dim2,class
19.1146297454834,11.65035343170166,0
12.0944185256958,15.577692031860352,0
18.508859634399414,8.571076393127441,0
-11.539937973022461,31.01962661743164,5
19.82708740234375,8.91504955291748,0
-12.259825706481934,-2.1824769973754883,2
4.4630446434021,27.651235580444336,3
23.228160858154297,9.639870643615723,0
18.02859115600586,8.938302040100098,0
-13.651519775390625,-0.15357448160648346,2
-4.204094886779785,-13.788359642028809,3
33.32550048828125,-8.419657707214355,7
-16.36661148071289,-1.763443112373352,2
28.508134841918945,9.966538429260254,1
-11.421393394470215,-0.24588413536548615,2
-37.30613708496094,2.334618091583252,4
-37.424827575683594,1.5471134185791016,4
6.84242057800293,17.490373611450195,2
1.5843894481658936,-4.355482578277588,0
22.641361236572266,13.535959243774414,0
-24.51167106628418,29.16040802001953,1
-9.18527889251709,31.377511978149414,5
-12.423495292663574,-18.460922241210938,2
-11.10376262664795,-4.026172637939453,2
-3.270608901977539,9.340093612670898,5
10.776726722717285,-8.727802276611328,6
12.446785926818848,-9.314769744873047,6
-9.911051750183105,-16.797388076782227,6
-12.635645866394043,-0.8648739457130432,2
-1.1117782592773438,-4.119818210601807,11
-3.484941005706787,2.0098230838775635,2
4.462756633758545,27.673112869262695,12
-8.137069702148438,-14.111598014831543,8
19.061275482177734,-28.795629501342773,1
-4.028325080871582,-29.676410675048828,9
0.9083714485168457,-0.9197720885276794,11
-0.18774887919425964,-1.12908935546875,11
6.017956733703613,27.512468338012695,12
-4.093526840209961,-29.577621459960938,9
22.332704544067383,11.6625337600708,0
-15.052167892456055,-20.29288101196289,4
-10.939752578735352,31.288503646850586,5
-3.618041515350342,-19.997844696044922,2
-35.896507263183594,3.9335570335388184,2
-14.204900741577148,-4.750953197479248,2
-36.86112976074219,2.022745370864868,4
0.36118990182876587,-0.09515722095966339,11
22.296125411987305,15.043146133422852,0
0.4178906977176666,11.033612251281738,10
-3.990420341491699,-28.851484298706055,9
12.408427238464355,-12.196053504943848,3
-14.200155258178711,22.766889572143555,0
19.502426147460938,12.698991775512695,0
2.271939277648926,7.413299083709717,5
-23.568021774291992,27.633516311645508,8
-11.919836044311523,1.5805283784866333,2
-3.863347291946411,-13.636046409606934,3
-13.729898452758789,17.358346939086914,13
-4.725560188293457,-30.549367904663086,1
21.516834259033203,-30.004241943359375,1
16.893779754638672,15.958765029907227,0
0.7558193206787109,-1.6077879667282104,11
-3.9547228813171387,-29.57491111755371,9
20.752317428588867,13.42465591430664,0
18.6702880859375,-29.934389114379883,1
20.11094856262207,-27.8781795501709,1
-3.2871522903442383,-13.615508079528809,3
-15.942490577697754,17.94292449951172,4
21.92306900024414,15.810927391052246,5
28.38414764404297,11.944111824035645,0
0.48271697759628296,11.230301856994629,10
0.7160137295722961,-1.5095847845077515,11
12.049764633178711,-8.805254936218262,6
-14.326496124267578,17.888694763183594,13
-32.81604766845703,-11.655929565429688,14
1.108995795249939,-0.7337578535079956,11
-4.06243371963501,-28.817354202270508,9
22.07912254333496,10.56717300415039,0
-14.682533264160156,-20.662120819091797,15
-13.843249320983887,-0.835902214050293,2
17.74939727783203,13.758028984069824,1
-14.255989074707031,-20.110435485839844,15
-4.500174045562744,2.634103775024414,2
-11.996129989624023,30.311248779296875,5
-37.85380554199219,0.06813525408506393,4
-12.82612419128418,-0.2778906226158142,2
11.100342750549316,-8.407798767089844,6
0.4858591854572296,10.918512344360352,10
21.496309280395508,10.194035530090332,0
0.0003505065105855465,10.743744850158691,10
5.982595920562744,28.204570770263672,12
-9.712039947509766,34.40666961669922,15
-3.4624149799346924,-13.13953971862793,3
-37.58645248413086,1.6821582317352295,4
11.488298416137695,-9.655325889587402,6
0.2507137060165405,10.962492942810059,10
11.17636489868164,-9.839397430419922,6
-8.420989990234375,-4.441653251647949,4
13.47518253326416,-26.402402877807617,1
-6.143466472625732,1.4422850608825684,0
34.76959228515625,-9.764318466186523,7
19.39474868774414,-30.13128089904785,1
18.004926681518555,-28.43616485595703,1
-18.12890625,26.9710636138916,0
-22.423959732055664,27.39581298828125,8
11.398144721984863,-10.605512619018555,6
34.444419860839844,-11.03726577758789,7
20.16107177734375,9.347594261169434,0
11.177326202392578,-10.347500801086426,6
0.8612331748008728,-0.3737243413925171,11
1.3696035146713257,0.5220794081687927,1
18.33879280090332,12.9780912399292,0
-13.264039039611816,16.320390701293945,0
18.408061981201172,-28.716663360595703,1
