Dim1,Dim2,class
-19.636262893676758,15.357455253601074,0
-20.883089065551758,19.789566040039062,0
-18.84433937072754,13.626007080078125,0
39.359527587890625,-24.71652603149414,5
-16.04387092590332,15.705453872680664,0
14.575657844543457,-4.481094837188721,2
7.177785396575928,-24.193279266357422,3
-16.875032424926758,12.020947456359863,0
-18.2640380859375,13.887710571289062,0
12.607890129089355,-3.9132046699523926,2
9.057140350341797,-23.3701171875,3
-10.209063529968262,43.46878433227539,7
14.718287467956543,-1.7055829763412476,2
-17.221525192260742,-22.170452117919922,1
15.244705200195312,-1.3666152954101562,2
36.29353332519531,-2.6062569618225098,4
37.37625503540039,-3.071704387664795,4
13.259995460510254,-2.647461414337158,2
-24.596712112426758,18.933975219726562,0
-18.540077209472656,16.470876693725586,0
-16.589366912841797,-19.88442611694336,1
40.34523010253906,-25.855329513549805,5
11.887411117553711,-2.3107519149780273,2
14.088726997375488,-5.77292537689209,2
40.123409271240234,-25.263416290283203,5
-11.022489547729492,-45.857872009277344,6
-12.311537742614746,-46.51502227783203,6
-12.603693962097168,-43.36134338378906,6
13.960195541381836,-5.741350173950195,2
-6.9988226890563965,-4.780895233154297,11
12.931838989257812,-3.1531410217285156,2
35.11811828613281,14.95549488067627,12
21.27230453491211,29.895092010498047,8
-18.3463191986084,-21.14946174621582,1
-33.12456130981445,-7.699585437774658,9
-6.528023719787598,-5.439085006713867,11
-6.141358375549316,-4.1592302322387695,11
35.72998046875,15.442370414733887,12
-32.13957214355469,-7.182884693145752,9
-13.133974075317383,16.203222274780273,0
38.060306549072266,-2.2246575355529785,4
39.45761489868164,-24.958967208862305,5
12.942627906799316,-3.4357402324676514,2
12.766094207763672,-2.807999849319458,2
12.640451431274414,-1.2750474214553833,2
35.09282684326172,-3.2898852825164795,4
-6.780827522277832,-5.756861209869385,11
-21.407649993896484,19.961475372314453,0
-53.42225646972656,-0.3515511453151703,10
-32.93937683105469,-6.822684288024902,9
7.4886674880981445,-24.304250717163086,3
-14.006397247314453,15.726961135864258,0
-16.77609634399414,17.985065460205078,0
36.02789306640625,1.7974846363067627,5
21.28657341003418,30.24640464782715,8
11.338619232177734,-3.0672130584716797,2
8.844040870666504,-24.842967987060547,3
3.580416440963745,8.15268611907959,13
-18.98450469970703,-20.31797981262207,1
-16.836986541748047,-19.331729888916016,1
-20.499832153320312,15.576175689697266,0
-6.102578163146973,-5.535500526428223,11
-32.909217834472656,-8.169014930725098,9
-15.899516105651855,17.262794494628906,0
-16.821727752685547,-21.262451171875,1
-20.721445083618164,-22.22162628173828,1
6.897647380828857,-21.13309097290039,3
37.83169937133789,-2.6469991207122803,4
38.79695510864258,-24.642412185668945,5
-21.275005340576172,13.857694625854492,0
-54.2252311706543,-0.43370121717453003,10
-5.956784725189209,-4.912173271179199,11
-12.008283615112305,-44.55654525756836,6
4.064102649688721,7.5455498695373535,13
7.806802749633789,32.35111999511719,14
-6.38308048248291,-3.6686317920684814,11
-32.036659240722656,-7.294875621795654,9
-16.290401458740234,13.194341659545898,0
10.51762866973877,13.112666130065918,15
12.862726211547852,-5.093249797821045,2
-17.86721420288086,-23.81816864013672,1
11.019389152526855,12.976296424865723,15
14.994467735290527,-2.525599241256714,2
39.54275131225586,-24.005449295043945,5
37.176422119140625,-2.4200785160064697,4
13.407148361206055,-5.824460506439209,2
-11.053877830505371,-44.86052322387695,6
-53.4329719543457,-0.8526726365089417,10
-17.515003204345703,16.478879928588867,0
-52.74085235595703,0.4948228895664215,10
35.26121139526367,14.845721244812012,12
11.382671356201172,13.151909828186035,15
8.918635368347168,-23.54806900024414,3
36.07150650024414,-3.3370511531829834,4
-12.292802810668945,-46.226539611816406,6
-53.492950439453125,-0.7767187356948853,10
-14.145964622497559,-46.521541595458984,6
35.87569046020508,-3.8059587478637695,4
-16.96001625061035,-19.610414505004883,1
-24.395736694335938,19.35186004638672,0
-10.536699295043945,43.15474319458008,7
-17.070589065551758,-23.952726364135742,1
-17.35642433166504,-22.15517807006836,1
-24.878734588623047,16.329544067382812,0
19.52042579650879,30.04244613647461,8
-11.64685344696045,-46.24343490600586,6
-11.026411056518555,42.84604263305664,7
-18.24467658996582,18.403465270996094,0
