Dim1,Dim2,class
17.068586349487305,-20.74127960205078,0
12.983009338378906,-22.863920211791992,0
15.521263122558594,-23.596145629882812,0
-34.7735595703125,-20.118135452270508,5
9.593283653259277,-24.113140106201172,0
-8.574764251708984,20.6392879486084,2
29.912290573120117,7.543258190155029,3
15.058149337768555,-28.007043838500977,0
15.885529518127441,-23.18062973022461,0
-7.305387020111084,19.410812377929688,2
2.8307361602783203,31.882417678833008,3
4.958386421203613,5.096283435821533,7
-9.667313575744629,17.8083438873291,2
26.459747314453125,7.600201606750488,1
20.68478012084961,-25.17716407775879,2
-13.638627052307129,-21.39727020263672,4
-18.875276565551758,4.030689716339111,4
-8.813292503356934,18.62026596069336,2
5.031193256378174,3.09982967376709,0
30.534902572631836,3.1709744930267334,0
26.952852249145508,6.210509777069092,1
-34.782081604003906,-19.59830093383789,5
-9.22536849975586,19.168088912963867,2
-9.532444953918457,18.924070358276367,2
-35.17085647583008,-20.61245346069336,5
-4.577898025512695,-12.150842666625977,6
-17.454662322998047,-19.787799835205078,6
-5.2956223487854,-12.211397171020508,6
-7.722651958465576,19.841718673706055,2
3.283956527709961,2.524125099182129,11
-7.904867172241211,18.154953002929688,2
-38.0438232421875,-9.980297088623047,12
-18.118227005004883,4.587010383605957,8
19.654861450195312,-25.213850021362305,1
10.963526725769043,19.3797550201416,9
3.3115129470825195,2.268444061279297,11
3.1489179134368896,3.959324359893799,11
30.106525421142578,3.3187453746795654,12
10.578286170959473,19.066484451293945,9
14.554932594299316,-24.420984268188477,0
-15.234411239624023,-21.872591018676758,4
-34.59235763549805,-19.60799789428711,5
-7.305788040161133,17.385147094726562,2
-9.370433807373047,19.602949142456055,2
-8.775506019592285,20.926733016967773,2
1.0871750116348267,27.988300323486328,4
2.3946657180786133,2.3423514366149902,11
12.835843086242676,-25.427499771118164,0
20.268692016601562,27.000526428222656,10
10.769975662231445,18.802709579467773,9
-37.39373016357422,-12.676613807678223,3
14.059137344360352,-25.26629066467285,0
16.722740173339844,-21.299882888793945,0
-36.45587921142578,-21.19521713256836,5
-19.933900833129883,4.828061580657959,8
4.608006954193115,24.9737548828125,2
2.500938653945923,30.80643081665039,3
-26.151714324951172,-3.8157706260681152,13
29.680940628051758,4.163531303405762,1
26.29511260986328,5.674798965454102,1
10.851764678955078,-26.343778610229492,0
2.6385347843170166,2.1421966552734375,11
10.896265029907227,18.7989559173584,9
20.05713653564453,-21.680938720703125,0
27.022903442382812,9.107013702392578,1
24.981609344482422,8.649153709411621,1
3.6115667819976807,29.9665584564209,3
-14.454215049743652,-20.959135055541992,4
-35.81084442138672,-20.606910705566406,5
1.4377118349075317,2.6830759048461914,0
19.554241180419922,27.42787742614746,10
-2.4411184787750244,23.380525588989258,11
8.574640274047852,-20.014957427978516,6
-26.18849754333496,-3.6203558444976807,13
-52.85292434692383,-6.95600700378418,14
3.41508412361145,2.270170211791992,11
10.830514907836914,19.55952262878418,9
14.6304931640625,-18.614086151123047,0
-32.9245719909668,2.1370623111724854,15
4.607985019683838,26.088661193847656,2
27.97567367553711,6.782380104064941,1
-32.932682037353516,2.2692365646362305,15
-8.172025680541992,17.094696044921875,2
-35.50102233886719,-20.181440353393555,5
-15.08642292022705,-20.8885498046875,4
-7.8504557609558105,19.151323318481445,2
-4.624409198760986,-11.942126274108887,6
20.8049373626709,28.47865867614746,10
14.661087989807129,-21.656217575073242,0
23.462190628051758,13.846044540405273,10
-38.0617561340332,-9.38718318939209,12
-26.37140464782715,-4.6271748542785645,15
-18.807191848754883,4.13458251953125,3
5.277853012084961,24.923908233642578,4
-4.721471309661865,-12.751689910888672,6
-24.966520309448242,-3.5826780796051025,10
-4.191726207733154,-12.49494457244873,6
0.2813062369823456,24.890077590942383,4
-1.4943490028381348,27.07430648803711,1
17.71826171875,-24.81071662902832,0
37.052371978759766,-17.830196380615234,7
27.90673065185547,7.807290077209473,1
24.718196868896484,7.541289329528809,1
21.106388092041016,-23.099103927612305,0
-19.523067474365234,4.833193778991699,8
5.718790054321289,31.804771423339844,6
37.16312026977539,-16.897029876708984,7
16.22589874267578,-21.963842391967773,0
-4.299745082855225,-12.774467468261719,6
3.106292724609375,1.7772597074508667,11
5.537210941314697,31.87935447692871,1
13.99998664855957,-23.64236831665039,0
16.520923614501953,-21.98941993713379,0
30.405864715576172,4.373605251312256,1
15.74065113067627,-21.489234924316406,0
-17.494199752807617,-16.855140686035156,13
-52.483062744140625,-7.315298557281494,14
10.68602180480957,18.801647186279297,9
19.959171295166016,27.219249725341797,10
9.522146224975586,-25.035680770874023,7
20.164756774902344,28.371610641479492,4
-5.002696990966797,-12.538412094116211,6
3.286738395690918,2.507695198059082,11
4.730334281921387,4.8414459228515625,0
-52.88648986816406,-7.155049800872803,14
-6.184270858764648,-11.962722778320312,6
16.09440803527832,-23.170076370239258,0
11.561585426330566,-18.90683937072754,13
-20.318050384521484,4.0426740646362305,8
10.551780700683594,-25.68588638305664,0
-5.0518388748168945,-12.976280212402344,6
-36.04974365234375,-20.097658157348633,5
-3.369117498397827,24.517240524291992,2
36.8795051574707,-17.414710998535156,7
28.66860008239746,8.182612419128418,1
14.925339698791504,-19.094528198242188,0
-4.359550476074219,21.96107292175293,3
10.587355613708496,19.128765106201172,9
28.245361328125,9.11957836151123,1
-10.017993927001953,18.301923751831055,2
10.379125595092773,-17.02311897277832,0
-5.093570232391357,-12.50518798828125,6
-7.825230598449707,19.53343391418457,2
16.287487030029297,-21.77950668334961,0
1.766823410987854,32.214813232421875,3
-53.275230407714844,-7.837291240692139,14
28.99312400817871,8.985218048095703,1
11.26839542388916,-19.111106872558594,14
